% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=438176, Wed Apr  8 19:42:38 2020
1 8 -0.09869882462225657 -0.0036431972407705215 0.021241096602814872 0.05570142055126012 1 1 1 1 1
2 16 -0.1555781937209646 -0.005528788281206757 0.012703648717133862 0.1455884554233692 1 1 1 1 1
3 24 -0.21744789029744188 -0.07234199342754948 0.03909395980358797 0.28756387047612825 1 1 1 1 1
4 32 -0.20983174135011887 -0.031985921634510014 0.026570397184199443 0.2528680732713227 1 1 1 1 1
5 40 -0.2874952362341448 -0.0033418095379221793 0.0628746857582181 0.2623126028035791 1 1 1 1 1
6 48 -0.30642338090660376 -0.01882989668484818 0.005207682564326271 0.291143900253518 1 1 1 1 1
7 56 -0.3263995746205349 -0.004951658736566726 0.006327440586789346 0.3355328003315173 1 1 1 1 1
8 64 -0.32570968915126913 -0.011417626199678446 0.006979105035100524 0.3678545282928838 1 1 1 1 1
9 72 -0.3861511141313285 -0.0643415702112276 0.0184110348874411 0.4916159284023327 1 1 1 1 1
10 80 -0.38854970509399717 -0.0821002980982248 0.04414942397848445 0.5611598107304504 1 1 1 1 1
11 88 -0.4369072047331173 -0.15497142577132653 0.023023586830493558 0.5544259269030143 1 1 1 1 1
12 96 -0.42072486661874364 -0.14238684844658248 0.06411112984507183 0.7120806111569776 1 1 1 1 1
13 104 -0.39751235638021093 -0.09444775898304625 0.12154923956547514 0.7229252083909106 1 1 1 1 1
